clone	push	retard	README.md                	Makefile                 	tp1.c                    	cp.txt                   	liste.sh                 	depot, etudiant et projet
0	0	0	2020-02-06 02:17:23 -0500	2020-02-07 11:49:03 -0500	2020-02-07 18:22:59 -0500	2020-01-27 02:43:29 -0500	2020-02-07 11:49:19 -0500	github.com/bachmaroua/inf3135-h2020-tp1
0	0	0	2020-01-20 12:47:06 -0500					github.com/AGasconAfriat/inf3135-h2020-tp1
1	0	0						github.com/SahnounAbdelaziz/inf3135-h2020-tp1
0	0	0	2020-02-08 14:24:59 -0500	2020-02-08 14:17:18 -0500	2020-02-08 14:17:18 -0500	2020-02-07 14:52:07 -0500	2020-02-07 14:52:07 -0500	github.com/YounesJulien/inf3135-h2020-tp1
0	0	0	2020-01-22 10:09:37 -0500	2020-02-03 15:44:40 -0500	2020-01-27 16:06:57 -0500	2020-01-21 20:27:36 -0500	2020-02-03 16:21:49 -0500	github.com/Alexisbou/inf3135-h2020-tp1
0	0	0	2020-01-29 17:59:39 -0500	2020-02-03 17:49:02 -0500	2020-02-06 06:20:27 -0500	2020-01-27 19:22:35 -0500	2020-02-03 10:16:33 -0500	github.com/GholamiMahmood/inf3135-h2020-tp1
0	0	0	2020-01-27 20:15:34 -0500	2020-02-03 17:49:33 -0500	2020-02-05 19:19:17 -0500	2020-01-24 17:31:15 -0500	2020-02-03 17:12:07 -0500	github.com/cryptoswarm/inf3135-h2020-tp1
0	1	0		2020-02-08 22:37:04 -0500	2020-02-08 00:54:24 -0500	2020-02-04 16:58:43 -0500	2020-02-05 13:52:59 -0500	github.com/AdelOuldzeid/inf3135-h2020-tp1
0	0	0	2020-02-08 04:44:32 -0500	2020-02-08 15:36:31 -0500	2020-02-07 19:07:00 -0500	2020-02-07 19:07:00 -0500	2020-02-08 05:22:48 -0500	github.com/assilg/inf3135-h2020-tp1
1	0	0						github.com/MahmoudAlBakkar/inf3135-h2020-tp1
0	0	0	2020-02-07 18:26:17 -0500	2020-02-08 13:45:43 -0500	2020-02-07 18:26:17 -0500	2020-02-07 18:26:17 -0500	2020-02-07 18:26:17 -0500	github.com/YounanGeorges1998/inf3135-h2020-tp1
0	0	0	2020-02-07 18:13:36 -0500	2020-02-08 19:37:52 -0500	2020-02-08 19:37:52 -0500	2020-02-07 17:21:28 -0500	2020-02-08 19:37:52 -0500	github.com/myrsma/inf3135-h2020-tp1
0	1	0	2020-02-08 10:16:49 -0500	2020-02-06 13:52:00 -0500	2020-02-06 10:58:42 -0500	2020-02-06 08:10:26 -0500		github.com/danielrosca977/inf3135-h2020-tp1
0	0	0	2020-02-07 15:47:45 -0500	2020-02-07 13:29:59 -0500	2020-02-07 13:29:59 -0500	2020-02-07 11:41:59 -0500		github.com/ahmadFara123/inf3135-h2020-tp1
0	0	0	2020-02-07 21:17:57 -0500	2020-02-07 20:28:40 -0500	2020-02-07 19:49:02 -0500	2020-02-08 18:50:51 -0500	2020-02-07 20:19:50 -0500	github.com/FrancoisHUP/inf3135-h2020-tp1
0	0	0	2020-02-07 19:04:22 -0500	2020-02-07 19:18:40 -0500	2020-02-07 18:38:54 -0500	2020-02-07 18:26:47 -0500	2020-02-07 18:44:45 -0500	github.com/RmannDev/inf3135-h2020-tp1
0	0	0	2020-01-31 09:42:52 -0500	2020-02-08 20:45:38 -0500	2020-02-08 21:39:14 -0500			github.com/alexacl21/inf3135-h2020-tp1
0	0	0	2020-02-06 00:42:45 -0500	2020-02-05 23:59:06 -0500	2020-02-07 16:57:22 -0500	2020-02-05 21:46:31 -0500	2020-02-05 23:48:46 -0500	github.com/cedricwtkUQAM/inf3135-h2020-tp1
0	0	0	2020-02-08 14:56:50 -0500	2020-02-08 15:10:49 -0500	2020-02-07 23:43:27 -0500	2020-02-07 23:43:27 -0500	2020-02-07 23:43:27 -0500	github.com/michaeluqam/inf3135-h2020-tp1
0	0	0	2020-02-07 12:06:42 -0500	2020-02-07 07:19:54 -0500	2020-02-07 07:16:52 -0500	2020-02-07 07:16:52 -0500	2020-02-07 07:16:52 -0500	github.com/chikhikamal/inf3135-h2020-tp1
0	1	0	2020-02-08 22:13:47 -0500	2020-02-08 22:09:52 -0500	2020-02-08 22:09:52 -0500	2020-02-06 00:56:13 -0500	2020-02-08 22:16:00 -0500	github.com/franksoua/inf3135-h2020-tp1
0	1	0						github.com/moulimane/inf3135-h2020-tp1
0	1	0	2020-02-08 19:10:18 -0500	2020-02-08 18:55:19 -0500	2020-02-08 05:23:46 -0500	2020-02-08 16:33:45 -0500	2020-02-08 05:23:46 -0500	github.com/krimo995/inf3135-h2020-tp1
0	0	0	2020-02-08 22:20:08 -0500	2020-02-08 22:20:08 -0500	2020-02-06 19:12:57 -0500	2020-01-30 15:54:28 -0500	2020-02-08 22:20:08 -0500	github.com/Eben99/inf3135-h2020-tp1
0	0	0	2020-02-05 09:30:13 -0500	2020-02-04 14:48:15 -0500	2020-02-04 11:41:16 -0500	2020-02-04 11:41:16 -0500	2020-02-04 14:48:15 -0500	github.com/MaximCrudu/inf3135-h2020-tp1
0	0	0	2020-02-07 14:34:12 -0500	2020-02-07 14:26:01 -0500	2020-02-07 14:26:01 -0500	2020-02-03 18:05:29 -0500	2020-02-07 14:26:01 -0500	github.com/ceaumo/inf3135-h2020-tp1
0	0	0	2020-02-06 10:49:49 -0500	2020-02-06 10:49:49 -0500	2020-02-06 10:49:49 -0500	2020-02-06 10:49:49 -0500	2020-02-06 10:49:49 -0500	github.com/ricardoDeMedeiros/inf3135-h2020-tp1
0	0	0	2020-02-03 23:52:00 -0500		2020-02-03 23:08:06 -0500	2020-02-03 23:48:04 -0500	2020-02-03 23:08:06 -0500	github.com/MoonscriB/inf3135-h2020-tp1
0	0	0	2020-02-08 09:19:51 -0500	2020-02-08 08:58:54 -0500	2020-02-07 15:03:13 -0500		2020-02-07 12:11:14 -0500	github.com/JeremyDionneNadeau/inf3135-h2020-tp1
0	1	0	2020-02-08 17:13:10 -0500		2020-02-08 16:59:21 -0500	2020-02-07 17:33:27 -0500	2020-02-07 18:01:30 -0500	github.com/af491086/inf3135-h2020-tp1
0	0	0	2020-02-08 03:18:07 -0500	2020-02-04 05:59:43 -0500	2020-02-05 05:07:57 -0500	2020-01-31 04:07:53 -0500	2020-02-07 06:40:20 -0500	github.com/Sami-2016/inf3135-h2020-tp1
0	0	0	2020-02-08 20:19:09 -0500	2020-02-08 20:22:43 -0500	2020-02-08 01:06:03 -0500	2020-02-03 12:14:02 -0500	2020-02-07 23:56:29 -0500	github.com/djamz47/inf3135-h2020-tp1
0	1	0	2020-02-08 22:46:09 -0500	2020-02-08 22:46:09 -0500	2020-02-08 22:22:47 -0500	2020-02-07 23:37:20 -0500	2020-02-08 22:22:47 -0500	github.com/ac191063/inf3135-h2020-tp1
0	0	0	2020-02-08 22:45:36 -0500	2020-02-08 22:25:32 -0500	2020-02-07 23:44:54 -0500	2020-02-07 23:27:34 -0500	2020-02-07 23:46:03 -0500	github.com/samueluqam/inf3135-h2020-tp1
